Ticker,Date,Traded,Price Paid
AAPL,4/1/2010,139,7.183751583
AAPL,9/1/2010,131,7.620919704
AAPL,2/1/2011,95,10.50392151
AAPL,7/1/2011,95,10.4500351
AAPL,12/1/2011,84,11.80994415
AAPL,5/1/2012,56,17.72207642
AAPL,10/1/2012,49,20.16031265
AAPL,3/1/2013,75,13.2984457
AAPL,8/1/2013,70,14.20153046
AAPL,1/2/2014,57,17.41553307
AAPL,6/1/2014,49,20.16155243
AAPL,11/1/2014,41,24.19897461
AAPL,4/1/2015,35,28.0710907
AAPL,9/1/2015,40,24.54883957
AAPL,2/1/2016,45,22.06997299
AAPL,7/1/2016,45,22.19981194
AAPL,11/1/2016,38,25.95124817
AAPL,4/1/2017,29,33.75677872
AAPL,9/1/2017,25,38.85907745
AAPL,2/1/2018,25,39.88547897
AAPL,7/1/2018,22,44.35506058
AAPL,12/1/2018,23,43.090271
AAPL,5/1/2019,19,51.01506424
AAPL,10/1/2019,18,54.84178925
AAPL,3/1/2020,14,67.11005402
AAPL,8/1/2020,9,104.6300583
AAPL,1/2/2021,7,131.1160278
AAPL,6/1/2021,8,123.198204
AAPL,11/1/2021,6,147.8846283
AAPL,4/1/2022,5,173.5249634
AAPL,9/1/2022,6,157.69841
AMZN,3/1/2010,160,6.227000237
AMZN,8/1/2010,169,5.894499779
AMZN,1/2/2011,111,9
AMZN,6/1/2011,103,9.619999886
AMZN,11/1/2011,94,10.60499954
AMZN,4/1/2012,98,10.12549973
AMZN,9/1/2012,80,12.41349983
AMZN,2/1/2013,75,13.25
AMZN,7/1/2013,70,14.10499954
AMZN,12/1/2013,50,19.68099976
AMZN,5/1/2014,64,15.39449978
AMZN,10/1/2014,63,15.87300014
AMZN,3/1/2015,52,19.00799942
AMZN,8/1/2015,37,26.80750084
AMZN,1/2/2016,29,33.79449844
AMZN,6/1/2016,27,35.97200012
AMZN,10/1/2016,23,41.8655014
AMZN,3/1/2017,23,42.65399933
AMZN,8/1/2017,20,49.80950165
AMZN,1/2/2018,16,59.45050049
AMZN,6/1/2018,12,82.07700348
AMZN,11/1/2018,12,83.27649689
AMZN,4/1/2019,11,90.70950317
AMZN,9/1/2019,11,88.8144989
AMZN,2/1/2020,9,100.435997
